Address,Price,Zillow Link
"3120 Corlear Ave #444, Bronx, NY 10463","$1,945/mo",https://www.zillow.com/homedetails/3120-Corlear-Ave-444-Bronx-NY-10463/2056173814_zpid/
"91-21 195th St #G1, Hollis, NY 11423","$1,600/mo",https://www.zillow.com/homedetails/91-21-195th-St-G1-Hollis-NY-11423/2056170179_zpid/
"5610 94th St APT 2K, Elmhurst, NY 11373","$1,975/mo",https://www.zillow.com/homedetails/5610-94th-St-APT-2K-Elmhurst-NY-11373/2097036610_zpid/
"518 Bainbridge St APT 1C, Brooklyn, NY 11233","$1,800/mo",https://www.zillow.com/homedetails/518-Bainbridge-St-APT-1C-Brooklyn-NY-11233/2098307330_zpid/
"82-46 135th St #4V, Jamaica, NY 11435","$1,950/mo",https://www.zillow.com/homedetails/82-46-135th-St-4V-Jamaica-NY-11435/2059963688_zpid/
"1145 E 35th St FLOOR 1, Brooklyn, NY 11210","$2,168/mo",https://www.zillow.com/homedetails/1145-E-35th-St-FLOOR-1-Brooklyn-NY-11210/2056252089_zpid/
"2148 2nd Ave APT 4B, New York, NY 10029","$2,095/mo",https://www.zillow.com/homedetails/2148-2nd-Ave-APT-4B-New-York-NY-10029/2062180642_zpid/
"60 Hancock St APT 3R, Brooklyn, NY 11216","$1,950/mo",https://www.zillow.com/homedetails/60-Hancock-St-APT-3R-Brooklyn-NY-11216/2093549384_zpid/
"(undisclosed Address), Staten Island, NY 10306","$1,500/mo",https://www.zillow.com/homedetails/Staten-Island-NY-10306/2075705337_zpid/
"3120 Corlear Ave #444, Bronx, NY 10463","$1,945/mo",https://www.zillow.com/homedetails/3120-Corlear-Ave-444-Bronx-NY-10463/2056173814_zpid/
"91-21 195th St #G1, Hollis, NY 11423","$1,600/mo",https://www.zillow.com/homedetails/91-21-195th-St-G1-Hollis-NY-11423/2056170179_zpid/
"5610 94th St APT 2K, Elmhurst, NY 11373","$1,975/mo",https://www.zillow.com/homedetails/5610-94th-St-APT-2K-Elmhurst-NY-11373/2097036610_zpid/
"518 Bainbridge St APT 1C, Brooklyn, NY 11233","$1,800/mo",https://www.zillow.com/homedetails/518-Bainbridge-St-APT-1C-Brooklyn-NY-11233/2098307330_zpid/
"82-46 135th St #4V, Jamaica, NY 11435","$1,950/mo",https://www.zillow.com/homedetails/82-46-135th-St-4V-Jamaica-NY-11435/2059963688_zpid/
"1145 E 35th St FLOOR 1, Brooklyn, NY 11210","$2,168/mo",https://www.zillow.com/homedetails/1145-E-35th-St-FLOOR-1-Brooklyn-NY-11210/2056252089_zpid/
"2148 2nd Ave APT 4B, New York, NY 10029","$2,095/mo",https://www.zillow.com/homedetails/2148-2nd-Ave-APT-4B-New-York-NY-10029/2062180642_zpid/
"60 Hancock St APT 3R, Brooklyn, NY 11216","$1,950/mo",https://www.zillow.com/homedetails/60-Hancock-St-APT-3R-Brooklyn-NY-11216/2093549384_zpid/
"(undisclosed Address), Staten Island, NY 10306","$1,500/mo",https://www.zillow.com/homedetails/Staten-Island-NY-10306/2075705337_zpid/
"6454 Booth St APT 4B, Rego Park, NY 11374","$1,900/mo",https://www.zillow.com/homedetails/6454-Booth-St-APT-4B-Rego-Park-NY-11374/2110315141_zpid/
"215 W 242nd St #5A, Bronx, NY 10471","$1,800/mo",https://www.zillow.com/homedetails/215-W-242nd-St-5A-Bronx-NY-10471/2056133135_zpid/
"314 W 142nd St APT 17, New York, NY 10030","$1,655/mo",https://www.zillow.com/homedetails/314-W-142nd-St-APT-17-New-York-NY-10030/2097650766_zpid/
"149 Vermilyea Ave APT 3E, New York, NY 10034","$1,900/mo",https://www.zillow.com/homedetails/149-Vermilyea-Ave-APT-3E-New-York-NY-10034/2104907005_zpid/
"5025 Broadway APT 5E, New York, NY 10034","$1,975/mo",https://www.zillow.com/homedetails/5025-Broadway-APT-5E-New-York-NY-10034/2096316473_zpid/
"39-02 155th St #46, Flushing, NY 11354","$1,598/mo",https://www.zillow.com/homedetails/39-02-155th-St-46-Flushing-NY-11354/2066807937_zpid/
"5429 Kings Hwy #C4, Brooklyn, NY 11203","$2,000/mo",https://www.zillow.com/homedetails/5429-Kings-Hwy-C4-Brooklyn-NY-11203/2056159004_zpid/
"200 W 81st St APT 54, New York, NY 10024","$2,050/mo",https://www.zillow.com/homedetails/200-W-81st-St-APT-54-New-York-NY-10024/2103145973_zpid/
"124 E 107th St APT 30, New York, NY 10029","$2,195/mo",https://www.zillow.com/homedetails/124-E-107th-St-APT-30-New-York-NY-10029/2112180177_zpid/
